ID,District,Name,Address,Contact
1,CHENGALPATTU,"ST. THOMAS HOSPITAL, KANCHEEPURAM TN.","NO. 5/105, DEFENCE COLONY ROAD, ST.THOMAS MOUNT,?",9840382652
2,CHENGALPATTU,"GOVT. HEAD QRTRS HOSP, TAMBARAM, KANCHEEPURAM TN.","77, G S T ROAD, TAMBARAM SANATORIUM, CHENNAI",9444135154
3,CHENGALPATTU,"TAGORE MEDICAL COLL AND HOSP, KANCHEEPURAM TN.","MELAKKOTTAIYUR POST, VANDALUR-KELAMBAKKAM RD, RATHINAMANGALAM,",9884398420
4,CHENGALPATTU,"GLENEAGLES GLOBAL HEALTH CITY, KANCHEEPURAM TN.","439, MEDAVAKKAM ROAD, CHERAN NAGAR, PERUMBAKKAM,KANCHEEPURAM",9940559955
5,CHENGALPATTU,"GOVT HOSPITAL,THIRUKALUKUNDRAM,CHENGALPATTUTN.","?SANNATHI ST, TIRUKAZHUKUNDRAM",9443597420
6,CHENGALPATTU,GOVT. HOSPITAL CHEYYUR KANCHIPURAM TN.,"SH 115, PANAIYUR, CHEYUR, TAMIL NADU 603302",9025492046
7,CHENGALPATTU,"GOVT HOSPITAL,INJABAKKAM,CHENGALPATTUTN.","VOC ST, CHOLAMANDAL ARTISTS VILLAGE, INJAMBAKKAM",9962871155
8,CHENGALPATTU,"UNITTAS MULTI SPECIALITY HOSPITAL,CHENGLAPATTU TN.","16/17, M.K.REDDY STREET, WEST TAMBARAM, CHENNAI",9941909801
9,CHENGALPATTU,"CHENGALPATTU MEDICAL COLLEGE,KANCHEEPURAM TN.","G.S.T. ROAD, KANCHEEPURAM, CHENGALPATTU, TAMIL NADU 603001",044-27431287
10,CHENGALPATTU,"DR KAMAKSHI MEMORIAL HOSPITAL,KANCHEEPURAM TN.","1, RADIAL ROAD, PALLIKARANAI, DANDEESWARAR NAGAR, ROSE AVENUE,KANCHEEPURAM",9790961522
11,CHENGALPATTU,"GOVT. HOSPITAL, THIRUPORUR, KANCHEEPURAM TN.","GOVT HOSPITAL THIRUPORUR, OMR, ILLALURE,THIRUPORUR TK,KANCHEEPURAM DIST 603110",8778634244
12,CHENGALPATTU,"SRM MEDICAL COLLEGE HOSPITAL, KANCHEEPURAM TN.","NEELAN SCHOOL STREET,, ARUL NAGAR, URAPAKKAM, GUDUVANCHERY,KANCHEEPURAM",9952980830
13,CHENGALPATTU,"HINDU MISSION HOSPITAL,KANCHEEPURAM TN.","103, NH 45, WEST TAMBARAM, TAMBARAM,KANCHIPURAM",8754591111
14,CHENGALPATTU,"GOVT. MADHURANDAHAM HOSPITAL, KANCHEEPURAM TN.","HOSPITAL RD, MADURANTAKAM, TAMIL NADU 603306",9994453782
15,CHENGALPATTU,"SAI FERTILITY CENTRE AND HOSPITAL,KANCHEEPURAM TN.","NEW NO. 43, OLD, NO. 21, DEVARAJANAR ST, BEHIND NEW BUS STAND, VEDACHALAM NAGAR, CHENGALPATTU, TAMIL NADU 603001",9940331305
16,CHENGALPATTU,"GOVT SANATORIUM, KANCHEEPURAM TN.","77, CHENNAI THENI HWY, KADAPERI, TAMBARAM, CHENNAI, TAMIL NADU 600045",044-22418450
17,CHENGALPATTU,"GOVT HOSPITAL,MAHABALIPURAM,CHENGALPATTUTN.","POONCHERI, TIRUKKALUKKUNDRAM RD, MAHABALIPURAM,",8056514694
18,CHENNAI,"GOVT.SUPER SPECIALITY HOSPITAL,OMANDUR CHENNAI TN.","OMANDURAR GOVERNMENT ESTATE WALLAHJAH ROAD, ANNA SALAI, OPPOSITE TO, CHENNAI",9176252755
19,CHENNAI,"HYCARE SUPER SPECIALITY HOSPITAL, CHENNAI TN.","NO-37, RAZZAK GARDEN MAIN RD, MMDA COLONY, ARUMBAKKAM, CHENNAI, TAMIL NADU 600106",9384060772
20,CHENNAI,"NOBLE HOSPITAL,CHENNAI TN.","4, AUDIAPPA MUDALI STREET, OPP. LADY M.CT.M.SCHOOL, PURASAWAKKAM, PURASAIWAKKAM, CHENNAI,",8508999999
21,CHENNAI,"GOVT HOSPITAL,AYANAVARAM ESI, CHENNAI TN.?","53, MEDAVAKKAM TANK RD, THIRUVALLUVAR NAGAR, DR AMBEDKAR NAGAR, SANYASIPURAM, AYANAVARAM, CHENNAI",9976046249
22,CHENNAI,"IOG,EGMORE,CHENNAI TN.","HALLS ROAD, EGMORE, CHENNAI, TAMIL NADU 600008",9444303644
23,CHENNAI,"RSRM,TONDIARPET, CHENNAI TN.","CEMETERY ROAD, ROYAPURAM, ROYAPURAM, CHENNAI, TAMIL NADU 600013",9962139679
24,CHENNAI,"THE BEST HOSPITAL, KODAMBAKKAM, CHENNAI TN.","VELLALA ST, GANGA NAGAR, KODAMBAKKAM, CHENNAI,?",9840751860
25,CHENNAI,"GOVT INSTITUTE OF MENTAL HEALTH, CHENNAI TN.","MEDAVAKKAM TANK ROAD, KILPAUK, CHENNAI",9840109347
26,CHENNAI,"BILLROTH HOSPITALS SHENOY NAGAR, CHENNAI TN.",",43, LAKSHMI TALKIES ROAD, SHENOY, NAGAR,, CHENNAI,",7299104050
27,CHENNAI,"GOVT PERIPHERAL HOSPITAL, SAIDAPET,CHENNAI TN.","JENIS STREET, SAIDAPET, CHENNAI",8248432292
28,CHENNAI,"GOVT. STANLEY MEDICAL COLLEGE HOSPITAL,CHENNAI TN.","305 OSH RD, ROYAPURAM, OLD WASHERMANPET, CHENNAI, TAMIL NADU 600001",9442670002
29,CHENNAI,"GOVERNMENT PERIPHERAL HOSP,PERIYAR NGR,CHENNAI TN.","KARTHIKEYAN RD, PERIYAR NAGAR WEST, PERAMBUR, CHENNAI",7904898304
30,CHENNAI,"VS HOSPITALS INDIA PVT LTD, CHENNAI TN.","?13, E SPUR TANK RD, MUKTA GARDENS, CHETPET, CHENNAI",9444408400
31,CHENNAI,"MADRAS MEDICAL COLLEGE,CHENNAI TN.","M M C, PARK TOWN, CHENNAI, TAMIL NADU 600003",9176553202
32,CHENNAI,"GOVT.KILPAUK MEDICAL COLLEGEHOSPITALCHENNAI,TN.","822, POONAMALLEE HIGH RD, NEAR EGA THEATRE, KILPAUK, CHENNAI, TAMIL NADU 600010",9788504014
33,CHENNAI,"DR RAI MEMORIAL CANCER INSTITUTE,CHENNAI TN.","NO. 562, CENTURY PLAZA, ANNA SALAI, TEYNAMPET, CHENNAI,",9444058906
34,CHENNAI,"GOVT.TB HOSPITAL OTTERI , CHENNAI TN.","AYANAVARAM RD, OTTERI, AYANAVARAM, CHENNAI, TAMIL NADU 600023",9444231065
35,CHENNAI,"FORTIS MALAR HOSPITAL,CHENNAI TN.","NO.52, 1ST MAIN ROAD, GANDHI NAGAR, ADYAR, CHENNAI,?",8826877708
36,CHENNAI,"MURUGAN HOSPITAL KILPAUK, CHENNAI TN.","264, 125, KILPAUK GARDEN ROAD, KILPAUK, CHENNAI",9840717032
